,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
9060,570259268844314625,neutral,1.0,,,US Airways,,DaveKrupinski,,0,usairways unable use departing flight still use returning flight,,2015-02-24 08:29:39 -0800,"New York, NY",Eastern Time (US & Canada)
14134,569662896344592385,positive,1.0,,,American,,jadedhippie09,,0,americanair appreciate apology sincerely thank really ever wanted begin,,2015-02-22 16:59:52 -0800,,
1247,569867364390449152,negative,0.7139,Customer Service Issue,0.3709,United,,keithpresser,,0,united would like talk customer service agent service non service received last flight week go j,,2015-02-23 06:32:21 -0800,,
9601,569844191938908160,neutral,0.6421,,0.0,US Airways,,daknadler,,0,usairways maybe drive usairwaysfail,,2015-02-23 05:00:17 -0800,Jacksonville,Eastern Time (US & Canada)
13086,569942226224050176,negative,1.0,Late Flight,1.0,American,,ebaska225,,0,americanair flight leaving dallas right maui trying figure delayed flight going,,2015-02-23 11:29:50 -0800,,
6492,567818783616954369,negative,0.6477,Late Flight,0.6477,Southwest,,Cody_Butler,,0,southwestair get kind update delayed flight boston houston really need back home tonight,,2015-02-17 14:52:02 -0800,"College Station, Texas",Central Time (US & Canada)
1911,569523831460761601,negative,1.0,Cancelled Flight,1.0,United,,czamkoff,,0,united already rebook miss first appointment london tomorrow morning thanks ruining trip,,2015-02-22 07:47:17 -0800,,
14218,569651579307069440,negative,1.0,Lost Luggage,0.6568,American,,cloop87,,0,americanair flight jfk ege cxld runway hour flight moved wo give luggage back nice,,2015-02-22 16:14:54 -0800,"New York, NY",Eastern Time (US & Canada)
9384,569960575792504833,neutral,1.0,,,US Airways,,AshMichelle831,,0,usairways apply ur credit card automatically get companion certificate wait,,2015-02-23 12:42:45 -0800,,Eastern Time (US & Canada)
9593,569852380327612416,negative,1.0,Late Flight,1.0,US Airways,,corybronze,,0,usairways nightmare ever end found flight today delayed due ground handling delay affecting prior flight,,2015-02-23 05:32:49 -0800,,
7811,569233440463155201,neutral,0.6826,,0.0,Delta,,scrappiedoodle,,0,jetblue using jetblue air mile,,2015-02-21 12:33:22 -0800,Virginia & Cali,
13901,569692788968845312,negative,1.0,Cancelled Flight,0.6596,American,,MicMontgomery,,0,americanair need go frm tpa mci tmrw amp connection thru dfw cancelled flightled u connect thru diff city hold hr,,2015-02-22 18:58:39 -0800,"Kansas City, MO",Eastern Time (US & Canada)
8020,568862241497305088,negative,1.0,Customer Service Issue,0.6859999999999999,Delta,,JefferyAArnold,,0,jetblue poor storm customer service takeoff delay waiting snack cart rude steward name love guy trueblue,,2015-02-20 11:58:21 -0800,"Hoboken,NJ",Pacific Time (US & Canada)
13504,569846356409339906,positive,1.0,,,American,,LisaMitchL,,0,americanair thank best could get rebooked agent phone amp addtl resolution dm much appreciated,,2015-02-23 05:08:53 -0800,Indianapolis,Eastern Time (US & Canada)
14054,569673434721951744,negative,1.0,Customer Service Issue,1.0,American,,mjmckay,,0,americanair changed aadvantage travel plan amp called get help sea ur busy amp hang give,,2015-02-22 17:41:45 -0800,Bay Area,
794,570079536815034368,neutral,0.6548,,,United,,CaseyWoodTV,,0,united understand thanks,,2015-02-23 20:35:27 -0800,,Eastern Time (US & Canada)
13942,569688317412970496,positive,1.0,,,American,,StarkJedi,,0,americanair thank update,,2015-02-22 18:40:53 -0800,,
8739,567885370064506880,negative,1.0,Cancelled Flight,1.0,Delta,negative,dannygilbs,Cancelled Flight,0,jetblue disappointed flight cancelled flighted mostly excited listen song blue flying jetblue,,2015-02-17 19:16:37 -0800,"New York, NY",Eastern Time (US & Canada)
2109,569365278963798017,negative,1.0,Can't Tell,1.0,United,,WM_j_MW,,0,united suck,,2015-02-21 21:17:15 -0800,"Wake Forest, NC",Eastern Time (US & Canada)
7920,568976617453658113,positive,0.7047,,,Delta,,airtraffic01,,0,jetblue thanks,,2015-02-20 19:32:51 -0800,Bushwood,
3492,568380302114086912,negative,1.0,Customer Service Issue,0.6933,United,,DMSHIPMAN915,,0,united ewr ppl told call since monday still layover loc ref tho help appreciated,,2015-02-19 04:03:18 -0800,Germany,
5846,568552809555103744,neutral,1.0,,,Southwest,,AgroEquipment,,0,southwestair rescue sundown chicago next stop san antonio http,,2015-02-19 15:28:47 -0800,"Uvalde, TX",Central Time (US & Canada)
7534,569541328289165312,negative,1.0,Can't Tell,0.6601,Delta,,BluTapes,,0,jetblue letting san fran medium rate deal look like last time fly anywhere,,2015-02-22 08:56:48 -0800,Boston,Eastern Time (US & Canada)
1328,569824790200111104,neutral,0.6657,,0.0,United,,RaffaellaDom,,0,united news departure flight,,2015-02-23 03:43:11 -0800,Roma,Rome
2124,569353669738688512,negative,1.0,Lost Luggage,1.0,United,,Soniascrocchi15,,1,united never fly went vacation week lost bag way clothes thankyou,,2015-02-21 20:31:07 -0800,,
12251,570251394965479424,negative,0.635,Customer Service Issue,0.3285,American,,oobunillaoo,,0,americanair raleigh updated southern state advisory,,2015-02-24 07:58:21 -0800,usa::fr::uk,London
2325,569259056956727296,negative,1.0,Late Flight,0.3627,United,,BVSCAPE,,0,united nightmare continues http,,2015-02-21 14:15:10 -0800,,Eastern Time (US & Canada)
9668,569734821091487744,negative,1.0,Customer Service Issue,1.0,US Airways,,lminboston,,0,usairways ok try today giving minute hold time terrible http,,2015-02-22 21:45:41 -0800,,
12858,569999091028983808,negative,0.6559999999999999,Flight Booking Problems,0.3477,American,,redeyes313,,0,americanair fly american family severe weather excuse ca call make change computer u cant modify,,2015-02-23 15:15:48 -0800,"Lake County, Illinois",
6427,567865403101298688,neutral,1.0,,,Southwest,,benjikuriakose,,0,southwestair still able get thanks responding,,2015-02-17 17:57:17 -0800,"FL, US of A",Eastern Time (US & Canada)
14630,569588473050611712,positive,1.0,,,American,,Laurelinesblog,,0,americanair thanks,,2015-02-22 12:04:09 -0800,"Chapel Hill, NC",
5205,569259515398504449,negative,1.0,Customer Service Issue,1.0,Southwest,,duhhhLilah,,0,southwestair change hold music going hour loose,,2015-02-21 14:16:59 -0800,New Orleans,Central Time (US & Canada)
4751,569875532600385536,negative,1.0,Damaged Luggage,0.6683,Southwest,,Loloemartin,,0,southwestair bag possession clothes bag,,2015-02-23 07:04:49 -0800,,
13838,569704219315318784,negative,1.0,Customer Service Issue,1.0,American,,cbratch67,,1,americanair thanks canned response make look like care customer sure twitter user fall,,2015-02-22 19:44:05 -0800,,
11529,568040818059190273,neutral,0.6551,,0.0,US Airways,,MiddleSeatView,,0,usairways checked online tomorrow flight thought get auto upgrade already got email saying seat,,2015-02-18 05:34:19 -0800,"Washington, D.C.",Atlantic Time (Canada)
2614,568995205271015425,neutral,0.6667,,,United,,Merrick757,,0,united san diego chicago leaving tomorrow,,2015-02-20 20:46:43 -0800,,
1453,569713494821482498,negative,1.0,Cancelled Flight,0.6795,United,,DangerPeters,,0,united stuck ogg look like flight cancelled flightled help,,2015-02-22 20:20:56 -0800,,
12395,570202621123780608,neutral,0.6883,,0.0,American,,VanekSue,,0,americanair good morning wondering check boarding pas morning,,2015-02-24 04:44:33 -0800,,
5361,569166753101684736,negative,1.0,Late Flight,0.6989,Southwest,,gotomaio,,0,southwestair hold waiting make special accommodation mom traveling hour minute hold unacceptable,,2015-02-21 08:08:23 -0800,,Quito
12721,570045645714620417,negative,1.0,Customer Service Issue,1.0,American,,msofka,,0,americanair still hold hung first time another minute http,"[41.45858699, -81.86780822]",2015-02-23 18:20:47 -0800,"Cleveland, OH",Central Time (US & Canada)
7046,569947618413031424,positive,0.3829999999999999,,0.0,Delta,,CantBeJohn,,0,power move rt jetblue fleet fleek http,,2015-02-23 11:51:16 -0800,,Eastern Time (US & Canada)
1053,569950355330506752,negative,1.0,Customer Service Issue,1.0,United,,KateRChrisman,,0,united nope still one helped giving united badservice,,2015-02-23 12:02:08 -0800,"Oakland, CA",
12800,570016890996666368,positive,0.6621,,0.0,American,,PareshRP,,0,americanair lady abq great service among several cancelled flightlations,,2015-02-23 16:26:31 -0800,"Charlotte, NC",Eastern Time (US & Canada)
13947,569687606901940226,negative,0.6826,Late Flight,0.3651,American,,aliceliogier,,0,americanair situation jfk evening going get better worse cancelled flight flight like yesterday delayed,,2015-02-22 18:38:04 -0800,,Amsterdam
13373,569880005729067008,negative,1.0,Cancelled Flight,1.0,American,,takingthekids,,0,americanair rldelahunty record l oaaret got email could get rescheduled another flight know flight cancelled flightled,"[37.93663309, -107.81820588]",2015-02-23 07:22:35 -0800,New England ,Quito
9316,569987227075239936,neutral,0.6637,,0.0,US Airways,,jasemccarty,,0,usairways also explain checked u airway site amp picked standby put list,,2015-02-23 14:28:39 -0800,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada)
11301,568226977070632960,negative,1.0,Customer Service Issue,1.0,US Airways,,drb1125,,0,usairways emailed week ago still nothing,,2015-02-18 17:54:03 -0800,,
5910,568494397144358914,positive,1.0,,,Southwest,,StevenRheaDelga,,0,southwestair know crew today flight au pdx awesome swa,,2015-02-19 11:36:41 -0800,,
12005,570271479616573440,positive,0.6629999999999999,,,American,,PappasitosTXMEX,,0,americanair beantownmatty sound like date,,2015-02-24 09:18:10 -0800,,Central Time (US & Canada)
5778,568611966937214976,negative,0.66,Late Flight,0.66,Southwest,,PlaneyJanie,,0,southwestair betsy besty gettin stuck la might bad want home homewardbound betsy besty thankyou,,2015-02-19 19:23:51 -0800,,
10065,569552426698723330,negative,1.0,Late Flight,1.0,US Airways,,Jantira,,0,usairways three hour delay miami london none flight today delayed put another flight,,2015-02-22 09:40:54 -0800,,Brussels
10187,569497632361594880,negative,1.0,Customer Service Issue,1.0,US Airways,,BritalmegChris,,0,usairways upset customer service simple question phone system disconnected day today yesterday,,2015-02-22 06:03:10 -0800,,
450,567946319349706753,negative,1.0,Customer Service Issue,0.6977,Virgin America,,helenalor,,0,virginamerica lot flight book site working phone waiting minute,"[0.0, 0.0]",2015-02-17 23:18:49 -0800,San Francisco,Eastern Time (US & Canada)
10274,569416236171456513,negative,1.0,Lost Luggage,0.7020000000000001,US Airways,,ajl592,,0,usairways sitting runway hour leave airport luggage ur day,,2015-02-22 00:39:44 -0800,,
11199,568440431454736384,negative,1.0,Flight Booking Problems,0.6388,US Airways,,CaseyLemke,,0,usairways found great price thru u air honeymoon website wont work hold hour told min,,2015-02-19 08:02:14 -0800,Denver,
8679,568034012930936832,negative,1.0,Customer Service Issue,0.6788,Delta,,rjburnsva,,0,jetblue agent iad compounded problem making announcement jetbluemess,,2015-02-18 05:07:16 -0800,,Eastern Time (US & Canada)
14450,569614917826965504,negative,0.7255,Can't Tell,0.3651,American,,jenw714,,0,americanair americanair expect,,2015-02-22 13:49:14 -0800,Atl,Central Time (US & Canada)
14371,569626174617485313,negative,1.0,Customer Service Issue,0.6613,American,,tomrquicksell,,0,americanair dear american hour hold time become industry standard heard additional staffing weather,,2015-02-22 14:33:57 -0800,"Tampa, Fl",Eastern Time (US & Canada)
7132,569927288751587328,negative,1.0,Can't Tell,1.0,Delta,,TatianaKing,,31,stop company rt jetblue fleet fleek http,,2015-02-23 10:30:29 -0800,"New York, NY",
2288,569275466936397825,negative,1.0,longlines,0.3483,United,,davidblevine,,0,united seriously hr get bag iad intl arvls carousel custs flightled connects understand irrops ridiculous,,2015-02-21 15:20:22 -0800,What day is it?,Quito
4638,569970729237782528,neutral,1.0,,,Southwest,,djwrapcity,,0,southwestair possible add companion leg trip,,2015-02-23 13:23:06 -0800,Chicago,Central Time (US & Canada)
9150,570109961511895040,negative,1.0,Late Flight,1.0,US Airways,,medrisy,,0,usairways utterly unreliable schedule pilot flight seattle flight delayed usairwaysfail,,2015-02-23 22:36:21 -0800,,
10993,568633680605945856,negative,1.0,Bad Flight,0.3729,US Airways,,masonkesner,,0,usairways addition reviewing blog agent pleasant experience le,"[0.0, 0.0]",2015-02-19 20:50:08 -0800,"Arkansas, USA",Central Time (US & Canada)
9414,569945085158264832,negative,0.6632,Can't Tell,0.3368,US Airways,,thomashoward88,,0,usairways u returned gate get mel sticker oh look heard pilot clue mel sticker anyone,,2015-02-23 11:41:12 -0800,,
11243,568373623737556992,neutral,0.6667,,0.0,US Airways,,TomFutureforall,,0,usairways change correct last name via reservation already said ca change ticket name,,2015-02-19 03:36:46 -0800,,
4367,570285465145876480,negative,1.0,Customer Service Issue,0.6691,Southwest,,jawswald,,0,southwestair minute hold waiting ridiculous,"[0.0, 0.0]",2015-02-24 10:13:44 -0800,603 | 205,Eastern Time (US & Canada)
11553,568015003883859969,positive,1.0,,,US Airways,,Logunov_Daniil,,0,usairways best follow please,,2015-02-18 03:51:44 -0800,"Russia, Россия",Abu Dhabi
7013,569956617988345856,neutral,1.0,,,Delta,,AsthmaticNympho,,3,lord jetblue fleet fleek http,,2015-02-23 12:27:01 -0800, D(MD)V ✈️ NYC ✈️ Germany,Eastern Time (US & Canada)
1489,569700243383537664,positive,1.0,,,United,,geekydewd,,0,united thanks lol wait u per flightaware tail number,,2015-02-22 19:28:17 -0800,"CO Springs, Occupied Colorado",Mountain Time (US & Canada)
7472,569578296360378369,negative,1.0,Lost Luggage,1.0,Delta,,HaasMonte,,0,jetblue blaming tsa flight luggage debacle luggagegate,,2015-02-22 11:23:42 -0800,NYC,Quito
12618,570086488324485121,negative,1.0,Flight Attendant Complaints,0.354,American,,GarrettBogar,,0,nice try americanair heard crew whisper still hotel probably think work tomorrow,,2015-02-23 21:03:05 -0800,,
1983,569491456173477889,negative,1.0,Cancelled Flight,1.0,United,,PubliusTX,,0,united ua finally cancelled flighted hr delay replacement flight leaf late flightr one scheduled tomorrow cool,,2015-02-22 05:38:38 -0800,"Houston, TX",Central Time (US & Canada)
8518,568196466503770112,negative,1.0,Late Flight,1.0,Delta,,JunkyardFiegs,,0,jetblue big board say leaving,"[40.64518126, -73.77582926]",2015-02-18 15:52:48 -0800,,Central Time (US & Canada)
11318,568215917894737920,neutral,0.6679,,0.0,US Airways,,bobbyisaacson,,0,usairways nothing done online help bought birthday present trying able afford change,,2015-02-18 17:10:06 -0800,"San Francisco, CA",Pacific Time (US & Canada)
12351,570222414400860160,positive,1.0,,,American,,Rachelgaffney,,0,americanair thank replying trying figure get dfw,,2015-02-24 06:03:12 -0800,"Dallas,Tx",Central Time (US & Canada)
9824,569650751598944256,negative,1.0,longlines,0.659,US Airways,,Little_BeerGirl,,0,usairways way tell gate going stuck tarmack int l flt flt going elm gate,,2015-02-22 16:11:37 -0800,"ÜT: 42.076557,-76.770488",Eastern Time (US & Canada)
177,569351220097216512,negative,1.0,Customer Service Issue,1.0,Virgin America,,ChrysiChrysic,,0,virginamerica many apology r worse airline even respond cudtomers,,2015-02-21 20:21:23 -0800,,
4819,569698892528222208,negative,0.6566,Flight Booking Problems,0.6566,Southwest,,GabiLieberman,,0,southwestair trying rebook fare wan na get away pricing disappeared time refreshed normal,,2015-02-22 19:22:55 -0800,Chicago by way of California,Central Time (US & Canada)
7176,569920515542003712,positive,1.0,,,Delta,,BXKloosive,,0,jetblue thank appreciate,"[41.06865736, -73.70398273]",2015-02-23 10:03:34 -0800,"Bronx, NY",Eastern Time (US & Canada)
457,567849520781893632,negative,1.0,Late Flight,1.0,Virgin America,,lindsowesto,,0,virginamerica taking year fly home dallas get shit together,,2015-02-17 16:54:10 -0800,Texas,Central America
11390,568151138421207040,negative,1.0,Cancelled Flight,1.0,US Airways,,as4438,,0,usairways stop cancelled flighting flight provide real help customer strandedinnashville,,2015-02-18 12:52:41 -0800,,
12310,570237399932018688,negative,0.6576,Bad Flight,0.6576,American,,ThotWalking,,0,americanair fat man stuck airplane bathroom,,2015-02-24 07:02:45 -0800,,Central Time (US & Canada)
63,569986782567071744,neutral,1.0,,,Virgin America,,SocialPLC,,0,virginamerica ladygaga carrieunderwood sorry mary martin first,,2015-02-23 14:26:53 -0800,"Twin Cities, Minn.",Eastern Time (US & Canada)
13724,569734526521511936,neutral,0.6977,,0.0,American,,ElgortA,,0,americanair flight tomorrow reservation coming help,,2015-02-22 21:44:30 -0800,,
11785,567760870630244352,negative,1.0,Can't Tell,1.0,US Airways,,kpbball41,,0,usairways horrendous pull shit together,,2015-02-17 11:01:54 -0800,"Boston, MA",Quito
3909,567999609248858112,neutral,1.0,,,United,,thebavers,,0,united hi flying domestic first sea hnl pay use lounge fly international thanks,,2015-02-18 02:50:34 -0800,"Alvechurch, Worcestershire, UK",
2816,568884491294351360,negative,1.0,Customer Service Issue,1.0,United,,ADolledUpBlog,,1,united waste time airline get automated message disappointing always,,2015-02-20 13:26:46 -0800,"Salt Lake City, UT",Mountain Time (US & Canada)
2984,568807747661266945,negative,1.0,Customer Service Issue,1.0,United,,caitlingshaw,,0,united customer service terrible,,2015-02-20 08:21:49 -0800,"Columbus, Ohio",Eastern Time (US & Canada)
4900,569667173544812546,neutral,0.6548,,0.0,Southwest,,thaisayz,,0,southwestair mine,,2015-02-22 17:16:52 -0800,USA ,Central Time (US & Canada)
10820,568847612503334912,neutral,0.6607,,,US Airways,,wclsc59,,0,usairways vega baby good time vega lol,,2015-02-20 11:00:14 -0800,johnson city tn,
11715,567802255215460353,negative,1.0,Customer Service Issue,0.6498,US Airways,,Ltos5363,,0,usairways waive fee time cancelled flightation waive future date usairways ripoff poorcustomerservice,,2015-02-17 13:46:21 -0800,"South Shore, MA",Eastern Time (US & Canada)
2112,569364374755930112,negative,1.0,Late Flight,1.0,United,,Blondiemcl6,,0,united u gate ready gate agent going hour two,,2015-02-21 21:13:39 -0800,somerville nj,Central Time (US & Canada)
2069,569395649310883840,negative,1.0,Bad Flight,0.6484,United,,Ofbikesandbirds,,0,united allow family small child board first anymore next flight another airline,,2015-02-21 23:17:56 -0800,,
2315,569261063406882816,negative,1.0,Flight Booking Problems,0.6596,United,,apopnj01,,0,united u guy changed age double booked seat even though platinum person none,,2015-02-21 14:23:08 -0800,USA,Eastern Time (US & Canada)
4341,570299642887442433,positive,0.6809,,,Southwest,,tonybrancato,,0,southwestair thx make right help meagan fouty brancato fl dfw gate preboard group please please,"[41.19747574, -73.76926201]",2015-02-24 11:10:05 -0800,Chappaqua NY,Eastern Time (US & Canada)
4075,567834498655604736,negative,1.0,Late Flight,1.0,United,,lisakaysolomon,,0,united feel well informed yes flight indeed delayed thank http,,2015-02-17 15:54:28 -0800,"San Francisco, CA",
13990,569680818228084736,negative,1.0,Customer Service Issue,0.6629999999999999,American,,whyemes,,0,americanair trying add tsa pre check number reservation online see option nosecuritylines,,2015-02-22 18:11:05 -0800,,
9070,570251909447192577,negative,1.0,Lost Luggage,1.0,US Airways,,yorkshire2002,,1,usairways beamske real live person talk person whose luggage lost day vacation wrecked,,2015-02-24 08:00:24 -0800,Kentucky,Eastern Time (US & Canada)
2798,568894996683870208,neutral,1.0,,,United,,jeeden_1,,0,united frontier http,,2015-02-20 14:08:31 -0800,"Purcellville, VA",
11610,567881730490646528,positive,1.0,,,US Airways,,cindycapo,,0,usairways tyvm usair happy night lt,,2015-02-17 19:02:09 -0800,"IL,USA",Central America
795,570079237350100993,negative,1.0,Customer Service Issue,1.0,United,,throthra,,0,united ask call get fixed tweeting b question stall make thing worse phone number please,,2015-02-23 20:34:16 -0800,,
13728,569733539899568128,positive,0.6162,,,American,,Travelingwellfl,,0,americanair understood thanks anyway,,2015-02-22 21:40:35 -0800,"San Diego, CA",Pacific Time (US & Canada)
13772,569720008630149120,negative,1.0,Can't Tell,0.6589,American,,mjsorci,,0,americanair almost million mile w u loyal u r u going reciprocate joke,,2015-02-22 20:46:49 -0800,,
11658,567843415716732928,negative,1.0,Customer Service Issue,1.0,US Airways,,erickofiejones,,0,usairways told record refund someone please help long day,,2015-02-17 16:29:54 -0800,,Eastern Time (US & Canada)
11342,568189372362674176,negative,1.0,Customer Service Issue,1.0,US Airways,,NickAbel5,,0,usairways please improve phone system going multiple prompt amp menu told call back late flightr major fail,,2015-02-18 15:24:37 -0800,,
11270,568255534941544448,neutral,1.0,,,US Airways,,AnnetteNaif,,0,usairways annettenaif appreciate shoutout roberto dm confirmation code forward kind sent,,2015-02-18 19:47:31 -0800,New York & Worldwide,Eastern Time (US & Canada)
633,570236014238699521,negative,1.0,Customer Service Issue,0.6413,United,,Evan_Flay,,0,united way simple apology go long way even hollow one obvious care,"[29.98350019, -95.33675519]",2015-02-24 06:57:14 -0800,Seattle,Pacific Time (US & Canada)
563,570276377401827329,negative,1.0,Can't Tell,0.6684,United,,chrsmichaels,,0,united rude rude,,2015-02-24 09:37:38 -0800,"Austin, TX",Central Time (US & Canada)
2495,569165652876881920,negative,1.0,Can't Tell,0.6589,United,,_LaVitaLoca,,0,united incentive give another chance,,2015-02-21 08:04:00 -0800,,Central Time (US & Canada)
8720,567905158346207233,positive,1.0,,,Delta,,NYC_TAM,,0,jetblue valentinesday email point amp clever thanks amazing jetblue loveisintheair http,,2015-02-17 20:35:15 -0800,,
4863,569675004482351104,positive,0.6667,,,Southwest,,rzif,,0,southwestair yes please,,2015-02-22 17:47:59 -0800,,Central Time (US & Canada)
5792,568592809344819200,negative,1.0,Late Flight,0.6412,Southwest,,bluefig,,0,southwestair hour delay make nice offer rescheduling next day,,2015-02-19 18:07:44 -0800,"camas, wa",Alaska
10539,569211350985134081,negative,1.0,Customer Service Issue,0.6437,US Airways,,lorelleismith,,0,usairways rebooked missed flight never called didnt check email cont http,,2015-02-21 11:05:36 -0800,Cleveland/Sandusky,
9517,569894983265710081,neutral,0.6696,,,US Airways,,The_BlueAnchor,,0,usairways thank say website,,2015-02-23 08:22:06 -0800,"Dallas, TX",Central Time (US & Canada)
13505,569846302663688192,negative,1.0,Customer Service Issue,0.6834,American,,HaileyUrban,,0,americanair email phone call nothing screwed flight flight cancelled flighted reservation,,2015-02-23 05:08:40 -0800,,Alaska
14436,569616335488966656,negative,1.0,Customer Service Issue,1.0,American,,JamieStrong38,,0,americanair fcuk shit service got fan,,2015-02-22 13:54:51 -0800,,
9318,569986344484794369,negative,1.0,Lost Luggage,0.6699,US Airways,,Gregm528,,0,usairways lack customer service shined need step get lost baggage delta return,,2015-02-23 14:25:09 -0800,NY,Eastern Time (US & Canada)
5664,568828335922356224,positive,0.6742,,0.0,Southwest,,I_LuvMy_3Girls,,0,southwestair guy flight attendant last hilarious,,2015-02-20 09:43:38 -0800,South ~O-H-I-O~ Side,Eastern Time (US & Canada)
11430,568119831519739904,negative,1.0,Late Flight,1.0,US Airways,,travelersally,,0,usairways hate delay tried http although sure timbit,,2015-02-18 10:48:17 -0800,Atlanta,Eastern Time (US & Canada)
8774,567856127246999552,negative,0.6678,Customer Service Issue,0.6678,Delta,,knfitzpa,,0,jetblue option u help fix would made change earlier given accurate info,,2015-02-17 17:20:25 -0800,,Eastern Time (US & Canada)
13292,569895210777501696,negative,1.0,Cancelled Flight,0.6703,American,,crazydavy12,,0,americanair worst flight customer service second time cancelled flighted got ta pay hotel find ride,,2015-02-23 08:23:01 -0800,"College Station, Tx",Eastern Time (US & Canada)
4420,570264316743544832,negative,1.0,Customer Service Issue,1.0,Southwest,,gabehosler,,0,southwestair unfortunately call answered service horrid swa finger pointing amp excuse disappointed,"[38.30097379, -122.30180037]",2015-02-24 08:49:42 -0800,"San Diego,  CA",Pacific Time (US & Canada)
12125,570281854139572225,negative,1.0,Can't Tell,1.0,American,,EMesaLaw,,0,americanair worry wo steal money,,2015-02-24 09:59:24 -0800,Greater New England Area,Quito
9546,569883376041250816,negative,1.0,Late Flight,1.0,US Airways,,ezemanalyst,,0,usairways hour delay airline bad getting worse foolish american merge treat customer like crap,,2015-02-23 07:35:59 -0800,,
8854,567798973008994304,positive,1.0,,,Delta,,gigiri27,,0,jetblue love traveling jetblue cant wait go paris oui oui nyc awesomeee,,2015-02-17 13:33:19 -0800,,
13995,569680231012773888,negative,1.0,Customer Service Issue,1.0,American,,LBernieMeyer,,0,americanair number even let wait next customer rep frustrating ca talk human,,2015-02-22 18:08:45 -0800,,
13468,569855814716039168,negative,1.0,Late Flight,0.66,American,,CassVinograd,,0,americanair good enough info communicated point silence hour sat oh seat broken worst,,2015-02-23 05:46:28 -0800,,Eastern Time (US & Canada)
8197,568617016917168128,neutral,1.0,,,Delta,,Daryax22,,0,jetblue washington dc,,2015-02-19 19:43:55 -0800,"Boston, MA",Eastern Time (US & Canada)
3169,568617891412574208,neutral,1.0,,,United,,SupaZ22,,0,united mind,"[37.6205514, -122.3867929]",2015-02-19 19:47:24 -0800,"Chicago, Illinois.",Eastern Time (US & Canada)
8593,568134036239097856,neutral,0.6888,,,Delta,,Gailliag,,0,jetblue thank opening conversation hope make right,,2015-02-18 11:44:44 -0800,,Central Time (US & Canada)
407,568174745293709313,negative,0.6727,Customer Service Issue,0.6727,Virgin America,,mekirkpatrick,,0,virginamerica fyi info email address say contact password reset email exist email bounce,,2015-02-18 14:26:30 -0800,"Long Beach, CA",Pacific Time (US & Canada)
1844,569558713079443456,negative,1.0,Late Flight,1.0,United,,LMSNaomi,,0,united hi yes need free hotel stay honalulu due hour since miss second flight kauai,,2015-02-22 10:05:53 -0800,deep in the ❤ of Texas...,Atlantic Time (Canada)
12771,570031615130394624,positive,0.6708,,,American,,Princessk91,,0,americanair thanks idk still late flight hope get tonight,,2015-02-23 17:25:02 -0800,☀️SoFla☀️,Atlantic Time (Canada)
2184,569325844906115072,negative,1.0,Flight Booking Problems,0.6383,United,,niais,,0,united yeah tried time two different ticket told try late flightr,,2015-02-21 18:40:33 -0800,"Austin, TX",Central Time (US & Canada)
10792,568873199250706433,neutral,1.0,,,US Airways,,DavidHall1981,,0,usairways hi flying tomorrow weather looking ok problematic,,2015-02-20 12:41:54 -0800,"Adelaide, South Australia",Adelaide
8786,567848171155496960,negative,0.6551,Can't Tell,0.3449,Delta,,Nickymkirk,,0,jetblue ticket issued whilst delivering customer,,2015-02-17 16:48:48 -0800,Dorado,
3248,568572753403650049,negative,1.0,Customer Service Issue,1.0,United,,dwrichy,,0,united lost wallet flight yesterday houston bogota filled online form response yet,,2015-02-19 16:48:02 -0800,,Eastern Time (US & Canada)
9143,570125976195219456,negative,0.3469,Customer Service Issue,0.3469,US Airways,,EmilyClapp,,0,usairways thank reaching hopefully request fixed remain loyal customer,,2015-02-23 23:39:59 -0800,DC,
12529,570123495180410881,negative,1.0,Can't Tell,0.6981,American,,GarrettBogar,,0,americanair dm pay money want reach help way around,,2015-02-23 23:30:08 -0800,,
5140,569312688272052224,positive,0.6526,,,Southwest,,reiokam,,0,southwestair sent another drink coupon think coupon free drink anyone,"[0.0, 0.0]",2015-02-21 17:48:16 -0800,Los Angeles/SF/Palo Alto,Pacific Time (US & Canada)
9747,569683111404908544,negative,1.0,Lost Luggage,1.0,US Airways,,LanierHope,,0,usairways southern hospitality luggage delivery service sav awful great delivering empty promise luggage amp waiting,"[32.43487013, -80.64150369]",2015-02-22 18:20:12 -0800,Wherever US Air takes me...,Eastern Time (US & Canada)
3184,568610311487561728,positive,0.6679999999999999,,,United,,Jaytolchinsky,,0,united would great,,2015-02-19 19:17:17 -0800,,Central Time (US & Canada)
4660,569953874435567616,neutral,1.0,,,Southwest,,madisonisom,,0,southwestair done sorry thought already,,2015-02-23 12:16:07 -0800,"Birmingham, AL",Central Time (US & Canada)
5386,569153249917452288,negative,1.0,Customer Service Issue,1.0,Southwest,,amyvenezia,,0,southwestair hold hr ca get airport flight icy country backroads help pls southwestair bna,,2015-02-21 07:14:43 -0800,The Universe,Pacific Time (US & Canada)
683,570188934564737024,negative,1.0,Cancelled Flight,1.0,United,,bcarlsrud,,0,united checking see flight got cancelled flighted,,2015-02-24 03:50:10 -0800,,Central Time (US & Canada)
